Record_ID,Customer_Name,City,State,Region,Category,Sub_Category,Transaction_Date,Quantity,Unit_Price,Discount,Revenue,Profit,Rating,Status
AUT1000,Phillip Dickerson,New Kenneth,Hawaii,South,D,Type1,18-08-2024,9,711.12,0.23,5077.34,3160.01,2.1,Pending
AUT1001,Andre Willis,Ashleyfort,Tennessee,North,A,Type3,23-06-2025,11,688.48,0.14,1776.15,1992.89,2.6,Pending
AUT1002,William Scott,Cherylmouth,New York,North,B,Type2,05-07-2023,7,256.34,0.18,4433.7,294.3,4,Pending
AUT1003,Peter Dillon,Hendersonland,New Hampshire,South,A,Type3,11-12-2025,7,392.32,0.01,7890.46,4381.41,2.1,Completed
AUT1004,Melissa Young,North Theodore,Virginia,South,B,Type3,29-12-2024,3,202.9,0.22,5595.21,4064.3,3.1,Pending
AUT1005,Christina Arnold,South Christopher,Indiana,East,A,Type2,17-02-2025,18,270.98,0.29,5775.06,525.9,4.8,Pending
AUT1006,Matthew Wood,Port Nicole,Missouri,East,B,Type1,20-02-2025,16,411.88,0.04,5237.4,2371.57,3.5,Cancelled
AUT1007,Cynthia Crawford,New Anthonystad,North Dakota,South,D,Type2,02-01-2024,3,254.96,0.06,8613.76,1268.21,4.3,Pending
AUT1008,Peter Vega,South Katherine,Connecticut,West,C,Type3,20-07-2025,16,816.62,0.24,7642.67,170.43,2.2,Completed
AUT1009,Robert Riley,Ryanfort,Indiana,South,D,Type2,21-04-2024,16,158.13,,186.1,2814.42,4.5,Pending
AUT1010,David Johnson,North Courtneyfort,Montana,North,D,Type1,13-12-2024,15,494.08,0.05,5732.74,2817.47,3.3,Cancelled
AUT1011,Krista Collins,Gonzalezstad,Washington,East,B,Type2,12-01-2024,11,588.73,0.04,5740.03,1040.74,2.8,Pending
AUT1012,Donna Russell,Ryanberg,Oklahoma,West,C,Type3,08-11-2023,7,401.92,0.1,7278.05,1587.89,2,Completed
AUT1013,Ian Robinson,,Virginia,South,A,Type1,14-02-2024,17,649.3,0.17,2700.14,2729.4,2.4,Pending
AUT1014,Shannon Nichols MD,Hernandezhaven,North Carolina,West,D,Type3,13-10-2025,8,667.86,0.16,9898.57,1846.78,1.2,Completed
